pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
1137781,,bse_fo,SO,VMM,VMM26JUN122CE,CE,VMM25JUN26122.00CE,,544307,,,VMM26JUN122CE,,,5,4850,1782412199,1,2,12200,BSE,SO,1782412199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1782345600,1782345600,,,,,Physical,,0,1,0.00,4850,0,2645,5,1,1,1,0,0,1,0,-1,1,0,100000000
1137785,,bse_fo,IO,BANKEX,BANKEX26JUL66700PE,PE,BANKEX30JUL2666700.00PE,,12,,,BANKEX26JUL66700PE,,,5,30,1785436199,1,2,6.67e+06,BSE,IO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Cash,,0,1,0.00,30,0,829670,456890,1,1,1,0,0,1,0,-1,1,0,900
1137788,,bse_fo,SO,HINDZINC,HINDZINC26JUL630PE,PE,HINDZINC30JUL26630.00PE,,500188,,,HINDZINC26JUL630PE,,,5,1225,1785436199,1,2,63000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,1225,0,6750,1380,1,1,1,0,0,1,0,-1,1,0,100000000
1137791,,bse_fo,SO,GMRAIRPORT,GMRAIRPORT26JUL98PE,PE,GMRAIRPORT30JUL2698.00PE,,532754,,,GMRAIRPORT26JUL98PE,,,5,6975,1785436199,1,2,9800,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,6975,0,2775,5,1,1,1,0,0,1,0,-1,1,0,675000
1137796,,bse_fo,SO,TATAPOWER,TATAPOWER26JUL465CE,CE,TATAPOWER30JUL26465.00CE,,500400,,,TATAPOWER26JUL465CE,,,5,1450,1785436199,1,2,46500,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,1450,0,895,5,1,1,1,0,0,1,0,-1,1,0,101250
1137797,,bse_fo,SO,TCS,TCS26JUL2360PE,PE,TCS30JUL262360.00PE,,532540,,,TCS26JUL2360PE,,,5,225,1785436199,1,2,236000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,225,0,19515,5515,1,1,1,0,0,1,0,-1,1,0,7000
1137802,,bse_fo,SO,OBEROIRLTY,OBEROIRLTY26JUL1720PE,PE,OBEROIRLTY30JUL261720.00PE,,533273,,,OBEROIRLTY26JUL1720PE,,,5,350,1785436199,1,2,172000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,350,0,22020,7600,1,1,1,0,0,1,0,-1,1,0,28000
1137831,,bse_fo,SO,WIPRO,WIPRO26JUL217.5CE,CE,WIPRO30JUL26217.50CE,,507685,,,WIPRO26JUL217.5CE,,,5,3000,1785436199,1,2,21750,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,3000,0,515,5,1,1,1,0,0,1,0,-1,1,0,60000
1137941,,bse_fo,SO,KAYNES,KAYNES26JUL4200PE,PE,KAYNES30JUL264200.00PE,,543664,,,KAYNES26JUL4200PE,,,5,150,1785436199,1,2,420000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,150,0,143765,75050,1,1,1,0,0,1,0,-1,1,0,100000000
1137955,,bse_fo,SO,PREMIERENE,PREMIERENE26JUL1070CE,CE,PREMIERENE30JUL261070.00CE,,544238,,,PREMIERENE26JUL1070CE,,,5,650,1785436199,1,2,107000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,650,0,8125,5,1,1,1,0,0,1,0,-1,1,0,100000000
1137957,,bse_fo,IO,SENSEX,SENSEX26JUL82100CE,CE,SENSEX30JUL2682100.00CE,,1,,,SENSEX26JUL82100CE,,,5,20,1785436199,1,2,8.21e+06,BSE,IO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Cash,,0,1,0.00,20,0,167475,50135,1,1,1,0,0,1,0,-1,1,0,1000
1137967,,bse_fo,SO,MAZDOCK,MAZDOCK26JUL2600CE,CE,MAZDOCK30JUL262600.00CE,,543237,,,MAZDOCK26JUL2600CE,,,5,225,1785436199,1,2,260000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,225,0,27935,1275,1,1,1,0,0,1,0,-1,1,0,100000000
1137987,,bse_fo,SO,APLAPOLLO,APLAPOLLO26JUL1920PE,PE,APLAPOLLO30JUL261920.00PE,,533758,,,APLAPOLLO26JUL1920PE,,,5,350,1785436199,1,2,192000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,350,0,18410,4660,1,1,1,0,0,1,0,-1,1,0,100000000
1137995,,bse_fo,SO,ADANIPOWER,ADANIPOWER26JUL227.5PE,PE,ADANIPOWER30JUL26227.50PE,,533096,,,ADANIPOWER26JUL227.5PE,,,5,3550,1785436199,1,2,22750,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,3550,0,3185,875,1,1,1,0,0,1,0,-1,1,0,100000000
1138018,,bse_fo,SO,ALKEM,ALKEM26JUL5250CE,CE,ALKEM30JUL265250.00CE,,539523,,,ALKEM26JUL5250CE,,,5,125,1785436199,1,2,525000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,125,0,62785,16010,1,1,1,0,0,1,0,-1,1,0,8000
