pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,CASEligible
1123773,,bse_fo,SO,BHARATFORG,BHARATFORG26NOV1860PE,PE,BHARATFORG26NOV261860.00PE,,500493,,,BHARATFORG26NOV1860PE,,,5,500,1795717799,1,2,186000,BSE,SO,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Physical,,0,1,0.00,500,0,12005,1585,1,1,1,0,0,1,0,-1,1,0,30000,false
1114506,,bse_fo,SF,POLYCAB,POLYCAB26NOVFUT,XX,POLYCAB26NOV26FUT,,542652,,,POLYCAB26NOVFUT,,,5,125,1795717799,1,2,0,BSE,SF,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Physical,,0,1,0.00,125,0,912510,746595,1,1,1,0,0,1,0,-1,1,0,9000,false
862997,,bse_fo,SO,GODREJPROP,GODREJPROP26OCT2020PE,PE,GODREJPROP29OCT262020.00PE,,533150,,,GODREJPROP26OCT2020PE,,,5,325,1793298599,1,2,202000,BSE,SO,1793298599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1793232000,1793232000,,,,,Physical,,0,1,0.00,325,0,47065,20335,1,1,1,0,0,1,0,-1,1,0,19000,false
846915,,bse_fo,SO,TORNTPHARM,TORNTPHARM26SEP4850CE,CE,TORNTPHARM24SEP264850.00CE,,500420,,,TORNTPHARM26SEP4850CE,,,5,125,1790274599,1,2,485000,BSE,SO,1790274599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790208000,1790208000,,,,,Physical,,0,1,0.00,125,0,24720,5,1,1,1,0,0,1,0,-1,1,0,15000,false
847129,,bse_fo,IO,SENSEX50,SENSEX5026SEP25050PE,PE,SENSEX5024SEP2625050.00PE,,47,,,SENSEX5026SEP25050PE,,,5,75,1790274599,1,2,2.505e+06,BSE,IO,1790274599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790208000,1790208000,,,,,Cash,,0,1,0.00,75,0,132515,5,1,1,1,0,0,1,0,-1,1,0,1800,false
864004,,bse_fo,SO,RBLBANK,RBLBANK26OCT405CE,CE,RBLBANK29OCT26405.00CE,,540065,,,RBLBANK26OCT405CE,,,5,3175,1793298599,1,2,40500,BSE,SO,1793298599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1793232000,1793232000,,,,,Physical,,0,1,0.00,3175,0,4210,40,1,1,1,0,0,1,0,-1,1,0,150000,false
1118942,,bse_fo,SO,COFORGE,COFORGE26NOV2060CE,CE,COFORGE26NOV262060.00CE,,532541,,,COFORGE26NOV2060CE,,,5,475,1795717799,1,2,206000,BSE,SO,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Physical,,0,1,0.00,475,0,9815,5,1,1,1,0,0,1,0,-1,1,0,6000,false
883755,,bse_fo,SO,INDIANB,INDIANB26OCT920CE,CE,INDIANB29OCT26920.00CE,,532814,,,INDIANB26OCT920CE,,,5,1000,1793298599,1,2,92000,BSE,SO,1793298599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1793232000,1793232000,,,,,Physical,,0,1,0.00,1000,0,3715,5,1,1,1,0,0,1,0,-1,1,0,100000000,false
1115443,,bse_fo,SO,CROMPTON,CROMPTON26NOV270CE,CE,CROMPTON26NOV26270.00CE,,539876,,,CROMPTON26NOV270CE,,,5,2150,1795717799,1,2,27000,BSE,SO,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Physical,,0,1,0.00,2150,0,2250,5,1,1,1,0,0,1,0,-1,1,0,90000,false
1130731,,bse_fo,SO,IEX,IEX26SEP97.5PE,PE,IEX24SEP2697.50PE,,540750,,,IEX26SEP97.5PE,,,5,4350,1790274599,1,2,9750,BSE,SO,1790274599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790208000,1790208000,,,,,Physical,,0,1,0.00,4350,0,2010,5,1,1,1,0,0,1,0,-1,1,0,150000,false
